xyzdmxyzcountry,xyzdmxyzrequestyear,xyzdmxyzinterpolation,xyzdcxyzwelfaretype,xyzdcxyzcoverage,xyzdcxyzgender,xyzdcxyzagegroup,xyzdcxyzeducation,xyzdcxyzdistribution,xyzdpxyzsi_pov_share_all,xyzdcxyzpppyear
ALB,2018,FALSE,INC,,,15-64,,B40,.3919652,2017
ALB,2018,FALSE,INC,,,15-64,,T60,.6080348,2017
ALB,2018,FALSE,INC,,,>65,,B40,.2731082,2017
ALB,2018,FALSE,INC,,,>65,,T60,.7268918,2017
ALB,2018,FALSE,INC,,Female,,,B40,.4071181,2017
ALB,2018,FALSE,INC,,Female,,,T60,.592882,2017
ALB,2018,FALSE,INC,,Male,,,B40,.3926727,2017
ALB,2018,FALSE,INC,,Male,,,T60,.6073273,2017
ARG,2003,FALSE,INC,,,,No education,B40,.5810429,2017
ARG,2003,FALSE,INC,,,,No education,T60,.4189571,2017
ARG,2003,FALSE,INC,,,,Primary education,B40,.4429611,2017
ARG,2003,FALSE,INC,,,,Primary education,T60,.5570389,2017
ARG,2003,FALSE,INC,,,,Secondary education,B40,.3537327,2017
ARG,2003,FALSE,INC,,,,Secondary education,T60,.6462672,2017
ARG,2003,FALSE,INC,,,,Tertiary education,B40,.1302212,2017
ARG,2003,FALSE,INC,,,,Tertiary education,T60,.8697788,2017
ARG,2003,FALSE,INC,,,0-14,,B40,.5813125,2017
ARG,2003,FALSE,INC,,,0-14,,T60,.4186875,2017
ARG,2003,FALSE,INC,,,15-64,,B40,.3617012,2017
ARG,2003,FALSE,INC,,,15-64,,T60,.6382987,2017
ARG,2003,FALSE,INC,,,>65,,B40,.1683629,2017
ARG,2003,FALSE,INC,,,>65,,T60,.8316371,2017
ARG,2003,FALSE,INC,,Female,,,B40,.3965696,2017
ARG,2003,FALSE,INC,,Female,,,T60,.6034304,2017
ARG,2003,FALSE,INC,,Male,,,B40,.401861,2017
ARG,2003,FALSE,INC,,Male,,,T60,.598139,2017
ARG,2003,FALSE,INC,U,,,,B40,.3991013,2017
ARG,2003,FALSE,INC,U,,,,T60,.6008987,2017
ARG,2004,FALSE,INC,,,,No education,B40,.5629063,2017
ARG,2004,FALSE,INC,,,,No education,T60,.4370936,2017
ARG,2004,FALSE,INC,,,,Primary education,B40,.4499059,2017
ARG,2004,FALSE,INC,,,,Primary education,T60,.5500941,2017
ARG,2004,FALSE,INC,,,,Secondary education,B40,.3580263,2017
ARG,2004,FALSE,INC,,,,Secondary education,T60,.6419737,2017
ARG,2004,FALSE,INC,,,,Tertiary education,B40,.1182429,2017
ARG,2004,FALSE,INC,,,,Tertiary education,T60,.8817571,2017
ARG,2004,FALSE,INC,,,0-14,,B40,.5918855,2017
ARG,2004,FALSE,INC,,,0-14,,T60,.4081145,2017
ARG,2004,FALSE,INC,,,15-64,,B40,.3618951,2017
ARG,2004,FALSE,INC,,,15-64,,T60,.6381049,2017
ARG,2004,FALSE,INC,,,>65,,B40,.1594158,2017
ARG,2004,FALSE,INC,,,>65,,T60,.8405842,2017
ARG,2004,FALSE,INC,,Female,,,B40,.3934601,2017
ARG,2004,FALSE,INC,,Female,,,T60,.6065398,2017
ARG,2004,FALSE,INC,,Male,,,B40,.4052994,2017
ARG,2004,FALSE,INC,,Male,,,T60,.5947006,2017
ARG,2004,FALSE,INC,U,,,,B40,.3991409,2017
ARG,2004,FALSE,INC,U,,,,T60,.600859,2017
ARG,2005,FALSE,INC,,,,No education,B40,.575961,2017
ARG,2005,FALSE,INC,,,,No education,T60,.424039,2017
ARG,2005,FALSE,INC,,,,Primary education,B40,.4596205,2017
ARG,2005,FALSE,INC,,,,Primary education,T60,.5403795,2017
ARG,2005,FALSE,INC,,,,Secondary education,B40,.3603425,2017
ARG,2005,FALSE,INC,,,,Secondary education,T60,.6396576,2017
ARG,2005,FALSE,INC,,,,Tertiary education,B40,.1110355,2017
ARG,2005,FALSE,INC,,,,Tertiary education,T60,.8889645,2017
ARG,2005,FALSE,INC,,,0-14,,B40,.596642,2017
ARG,2005,FALSE,INC,,,0-14,,T60,.403358,2017
ARG,2005,FALSE,INC,,,15-64,,B40,.3603484,2017
ARG,2005,FALSE,INC,,,15-64,,T60,.6396515,2017
ARG,2005,FALSE,INC,,,>65,,B40,.1695974,2017
ARG,2005,FALSE,INC,,,>65,,T60,.8304026,2017
ARG,2005,FALSE,INC,,Female,,,B40,.397612,2017
ARG,2005,FALSE,INC,,Female,,,T60,.602388,2017
ARG,2005,FALSE,INC,,Male,,,B40,.4012853,2017
ARG,2005,FALSE,INC,,Male,,,T60,.5987147,2017
ARG,2005,FALSE,INC,U,,,,B40,.3993766,2017
ARG,2005,FALSE,INC,U,,,,T60,.6006234,2017
ARG,2006,FALSE,INC,,,,No education,B40,.5877939,2017
ARG,2006,FALSE,INC,,,,No education,T60,.4122061,2017
ARG,2006,FALSE,INC,,,,Primary education,B40,.4636896,2017
ARG,2006,FALSE,INC,,,,Primary education,T60,.5363104,2017
ARG,2006,FALSE,INC,,,,Secondary education,B40,.3594909,2017
ARG,2006,FALSE,INC,,,,Secondary education,T60,.6405091,2017
ARG,2006,FALSE,INC,,,,Tertiary education,B40,.1211208,2017
ARG,2006,FALSE,INC,,,,Tertiary education,T60,.8788791,2017
ARG,2006,FALSE,INC,,,0-14,,B40,.595001,2017
ARG,2006,FALSE,INC,,,0-14,,T60,.404999,2017
ARG,2006,FALSE,INC,,,15-64,,B40,.3604541,2017
ARG,2006,FALSE,INC,,,15-64,,T60,.6395459,2017
ARG,2006,FALSE,INC,,,>65,,B40,.1748255,2017
ARG,2006,FALSE,INC,,,>65,,T60,.8251745,2017
ARG,2006,FALSE,INC,,Female,,,B40,.3966717,2017
ARG,2006,FALSE,INC,,Female,,,T60,.6033283,2017
ARG,2006,FALSE,INC,,Male,,,B40,.4022527,2017
ARG,2006,FALSE,INC,,Male,,,T60,.5977473,2017
ARG,2006,FALSE,INC,U,,,,B40,.3993508,2017
ARG,2006,FALSE,INC,U,,,,T60,.6006492,2017
ARG,2007,FALSE,INC,,,,No education,B40,.5775217,2017
ARG,2007,FALSE,INC,,,,No education,T60,.4224782,2017
ARG,2007,FALSE,INC,,,,Primary education,B40,.4621547,2017
ARG,2007,FALSE,INC,,,,Primary education,T60,.5378454,2017
ARG,2007,FALSE,INC,,,,Secondary education,B40,.3591666,2017
ARG,2007,FALSE,INC,,,,Secondary education,T60,.6408334,2017
ARG,2007,FALSE,INC,,,,Tertiary education,B40,.1291583,2017
ARG,2007,FALSE,INC,,,,Tertiary education,T60,.8708417,2017
ARG,2007,FALSE,INC,,,0-14,,B40,.5990267,2017
ARG,2007,FALSE,INC,,,0-14,,T60,.4009733,2017
ARG,2007,FALSE,INC,,,15-64,,B40,.3616391,2017
ARG,2007,FALSE,INC,,,15-64,,T60,.6383609,2017
ARG,2007,FALSE,INC,,,>65,,B40,.1595243,2017
ARG,2007,FALSE,INC,,,>65,,T60,.8404757,2017
ARG,2007,FALSE,INC,,Female,,,B40,.3998106,2017
ARG,2007,FALSE,INC,,Female,,,T60,.6001894,2017
ARG,2007,FALSE,INC,,Male,,,B40,.3991345,2017
ARG,2007,FALSE,INC,,Male,,,T60,.6008655,2017
ARG,2007,FALSE,INC,U,,,,B40,.3994863,2017
