xyzDMxyzCountry,xyzDMxyzYearRange,xyzDMxyzInterpolation,xyzDCxyzWelfareType,xyzDCxyzDistribution,xyzDPxyzSI_SPR_PCAP_ZG,xyzDCxyzPPPYear,xyzDMxyzCoverage
AUS,2014-2018,FALSE,INC,b40,-.4902788,2017,N
AUS,2014-2018,FALSE,INC,tot,-.2621996,2017,N
AUS,2014-2018,FALSE,INC,m50,.3690265,2017,N
AUS,2014-2018,FALSE,INC,premium,-.2280792,2017,N
AUT,2007-2012,FALSE,INC,b40,.3711504,2017,N
AUT,2007-2012,FALSE,INC,tot,.3896488,2017,N
AUT,2007-2012,FALSE,INC,m50,.6250962,2017,N
AUT,2007-2012,FALSE,INC,premium,-.0184985,2017,N
AUT,2009-2014,FALSE,INC,b40,.4738389,2017,N
AUT,2009-2014,FALSE,INC,tot,.005987,2017,N
AUT,2009-2014,FALSE,INC,m50,.1767246,2017,N
AUT,2009-2014,FALSE,INC,premium,.4678519,2017,N
AUT,2010-2015,FALSE,INC,b40,-.4699624,2017,N
AUT,2010-2015,FALSE,INC,tot,-.2793485,2017,N
AUT,2010-2015,FALSE,INC,m50,.0068543,2017,N
AUT,2010-2015,FALSE,INC,premium,-.1906139,2017,N
AUT,2012-2017,FALSE,INC,b40,1.440571,2017,N
AUT,2012-2017,FALSE,INC,tot,1.196166,2017,N
AUT,2012-2017,FALSE,INC,m50,1.592152,2017,N
AUT,2012-2017,FALSE,INC,premium,.2444046,2017,N
AUT,2013-2018,FALSE,INC,b40,.140336,2017,N
AUT,2013-2018,FALSE,INC,tot,.4386789,2017,N
AUT,2013-2018,FALSE,INC,m50,.743249,2017,N
AUT,2013-2018,FALSE,INC,premium,-.2983429,2017,N
AUT,2014-2019,FALSE,INC,b40,1.103894,2017,N
AUT,2014-2019,FALSE,INC,tot,1.144691,2017,N
AUT,2014-2019,FALSE,INC,m50,1.142062,2017,N
AUT,2014-2019,FALSE,INC,premium,-.0407977,2017,N
AUT,2015-2020,FALSE,INC,b40,1.613311,2017,N
AUT,2015-2020,FALSE,INC,tot,1.290415,2017,N
AUT,2015-2020,FALSE,INC,m50,1.452837,2017,N
AUT,2015-2020,FALSE,INC,premium,.3228962,2017,N
AUT,2016-2021,FALSE,INC,b40,.4104805,2017,N
AUT,2016-2021,FALSE,INC,tot,.3516522,2017,N
AUT,2016-2021,FALSE,INC,m50,.4399784,2017,N
AUT,2016-2021,FALSE,INC,premium,.0588283,2017,N
BEL,2007-2012,FALSE,INC,b40,1.135204,2017,N
BEL,2007-2012,FALSE,INC,tot,.4399619,2017,N
BEL,2007-2012,FALSE,INC,m50,1.085953,2017,N
BEL,2007-2012,FALSE,INC,premium,.6952417,2017,N
BEL,2009-2014,FALSE,INC,b40,.1345348,2017,N
BEL,2009-2014,FALSE,INC,tot,.0976659,2017,N
BEL,2009-2014,FALSE,INC,m50,.4465563,2017,N
BEL,2009-2014,FALSE,INC,premium,.0368688,2017,N
BEL,2010-2015,FALSE,INC,b40,.5716771,2017,N
BEL,2010-2015,FALSE,INC,tot,.4821045,2017,N
BEL,2010-2015,FALSE,INC,m50,.9243752,2017,N
BEL,2010-2015,FALSE,INC,premium,.0895726,2017,N
BEL,2012-2017,FALSE,INC,b40,.4403247,2017,N
BEL,2012-2017,FALSE,INC,tot,.4220448,2017,N
BEL,2012-2017,FALSE,INC,m50,.4543577,2017,N
BEL,2012-2017,FALSE,INC,premium,.0182799,2017,N
BEL,2013-2018,FALSE,INC,b40,1.4084,2017,N
BEL,2013-2018,FALSE,INC,tot,.9299346,2017,N
BEL,2013-2018,FALSE,INC,m50,.935726,2017,N
BEL,2013-2018,FALSE,INC,premium,.4784654,2017,N
BEL,2014-2019,FALSE,INC,b40,2.154064,2017,N
BEL,2014-2019,FALSE,INC,tot,1.410986,2017,N
BEL,2014-2019,FALSE,INC,m50,1.430042,2017,N
BEL,2014-2019,FALSE,INC,premium,.7430778,2017,N
BEL,2015-2020,FALSE,INC,b40,2.204134,2017,N
BEL,2015-2020,FALSE,INC,tot,1.091199,2017,N
BEL,2015-2020,FALSE,INC,m50,1.000565,2017,N
BEL,2015-2020,FALSE,INC,premium,1.112935,2017,N
BEL,2016-2021,FALSE,INC,b40,2.934595,2017,N
BEL,2016-2021,FALSE,INC,tot,2.105749,2017,N
BEL,2016-2021,FALSE,INC,m50,1.781892,2017,N
BEL,2016-2021,FALSE,INC,premium,.828846,2017,N
BEN,2011-2015,FALSE,CONS,b40,-5.189678,2017,N
BEN,2011-2015,FALSE,CONS,tot,.073465,2017,N
BEN,2011-2015,FALSE,CONS,m50,1.79131,2017,N
BEN,2011-2015,FALSE,CONS,premium,-5.263143,2017,N
BEN,2018-2021,FALSE,CONS,b40,4.836178,2017,N
BEN,2018-2021,FALSE,CONS,tot,2.312302,2017,N
BEN,2018-2021,FALSE,CONS,m50,4.372958,2017,N
BEN,2018-2021,FALSE,CONS,premium,2.523876,2017,N
BFA,2009-2014,FALSE,CONS,b40,5.839852,2017,N
BFA,2009-2014,FALSE,CONS,tot,2.928894,2017,N
BFA,2009-2014,FALSE,CONS,m50,3.582798,2017,N
BFA,2009-2014,FALSE,CONS,premium,2.910958,2017,N
