xyzdmxyzcountry,xyzdmxyzrequestyear,xyzdmxyzinterpolation,xyzdcxyzwelfaretype,xyzdpxyzsi_mpm_educ,xyzdpxyzsi_mpm_edue,xyzdpxyzsi_mpm_elec,xyzdpxyzsi_mpm_imps,xyzdpxyzsi_mpm_impw,xyzdpxyzsi_mpm_poor,xyzdpxyzsi_mpm_mdhc,survname,comparable_spell,xyzdcxyzpppyear,xyzdcxyzcoverage
AGO,2018,FALSE,CONS,.2967488,.2744306,.5263953,.5363752,.3210651,.31122,.4718801,IDREA,2018,2017,N
AGO,2018,FALSE,CONS,.2967488,.2744306,.5263953,.5363752,.3210651,.392947,.5151265,IDREA,2018,2021,N
ARG,2010,FALSE,INC,.0190405,.009636,0,.0130865,.0032566,.0074654,.007694,EPHC-S2,2003-2024,2017,U
ARG,2010,FALSE,INC,.0190405,.009636,0,.0130865,.0032566,.0153444,.015573,EPHC-S2,2003-2024,2021,U
ARG,2011,FALSE,INC,.0180353,.0105141,0,.0123504,.0030864,.0071138,.0074787,EPHC-S2,2003-2024,2017,U
ARG,2011,FALSE,INC,.0180353,.0105141,0,.0123504,.0030864,.0120776,.0124126,EPHC-S2,2003-2024,2021,U
ARG,2012,FALSE,INC,.016484,.0083371,0,.0092399,.0032407,.0064705,.0068159,EPHC-S2,2003-2024,2017,U
ARG,2012,FALSE,INC,.016484,.0083371,0,.0092399,.0032407,.0126958,.0130361,EPHC-S2,2003-2024,2021,U
ARG,2013,FALSE,INC,.0161902,.0089634,0,.0080511,.0032107,.0066668,.0070075,EPHC-S2,2003-2024,2017,U
ARG,2013,FALSE,INC,.0161902,.0089634,0,.0080511,.0032107,.0108921,.0112329,EPHC-S2,2003-2024,2021,U
ARG,2014,FALSE,INC,.0141841,.0094894,0,.0070432,.0040557,.0060478,.0062689,EPHC-S2,2003-2024,2017,U
ARG,2014,FALSE,INC,.0141841,.0094894,0,.0070432,.0040557,.0105905,.0108116,EPHC-S2,2003-2024,2021,U
ARG,2016,FALSE,INC,.0162716,.0117013,0,.0063667,.0040513,.0069689,.0072423,EPHC-S2,2003-2024,2017,U
ARG,2016,FALSE,INC,.0162716,.0117013,0,.0063667,.0040513,.01269,.0129554,EPHC-S2,2003-2024,2021,U
ARG,2017,FALSE,INC,.0148348,.0071565,0,.0069742,.004007,.006038,.0061101,EPHC-S2,2003-2024,2017,U
ARG,2017,FALSE,INC,.0148348,.0071565,0,.0069742,.004007,.0111425,.0112146,EPHC-S2,2003-2024,2021,U
ARG,2018,FALSE,INC,.013339,.0073669,0,.0070777,.0026429,.0104432,.0109254,EPHC-S2,2003-2024,2017,U
ARG,2018,FALSE,INC,.013339,.0073669,0,.0070777,.0026429,.016383,.0168652,EPHC-S2,2003-2024,2021,U
ARG,2019,FALSE,INC,.0145894,.0064164,0,.0063389,.0025471,.0168465,.0171247,EPHC-S2,2003-2024,2021,U
ARG,2019,FALSE,INC,.0145894,.0064164,0,.0063389,.0025471,.0110974,.0113756,EPHC-S2,2003-2024,2017,U
ARG,2020,FALSE,INC,.0136046,.0065874,0,.0090321,.0012386,.0117313,.0117475,EPHC-S2,2003-2024,2017,U
ARG,2020,FALSE,INC,.0136046,.0065874,0,.0090321,.0012386,.0219696,.0219858,EPHC-S2,2003-2024,2021,U
ARG,2021,FALSE,INC,.0108208,.0073135,0,.0025745,.0036405,.0089422,.0090657,EPHC-S2,2003-2024,2017,U
ARG,2021,FALSE,INC,.0108208,.0073135,0,.0025745,.0036405,.0136303,.0137539,EPHC-S2,2003-2024,2021,U
ARG,2022,FALSE,INC,.0110585,.0070612,0,.0041016,.0037203,.0061189,.0061966,EPHC-S2,2003-2024,2017,U
ARG,2022,FALSE,INC,.0110585,.0070612,0,.0041016,.0037203,.0129446,.0130223,EPHC-S2,2003-2024,2021,U
ARG,2023,FALSE,INC,.0099581,.0051386,0,.0038029,.0050618,.0050151,.0050985,EPHC-S2,2003-2024,2017,U
ARG,2023,FALSE,INC,.0099581,.0051386,0,.0038029,.0050618,.0115747,.0116581,EPHC-S2,2003-2024,2021,U
ARG,2024,FALSE,INC,.0102316,.0066692,0,.0045093,.0037057,.0096368,.0096744,EPHC-S2,2003-2024,2021,U
ARG,2024,FALSE,INC,.0102316,.0066692,0,.0045093,.0037057,.0055762,.0056139,EPHC-S2,2003-2024,2017,U
ARM,2014,FALSE,CONS,.0004424,.0193573,.0022271,.0117963,.005737,.0143914,.0146425,ILCS,1999-2018,2017,N
ARM,2014,FALSE,CONS,.0004424,.0193573,.0022271,.0117963,.005737,.0343759,.034627,ILCS,1999-2018,2021,N
ARM,2015,FALSE,CONS,.0003153,.021344,.0040505,.0093947,.0155328,.0114636,.0115047,ILCS,1999-2018,2017,N
ARM,2015,FALSE,CONS,.0003153,.021344,.0040505,.0093947,.0155328,.028524,.028565,ILCS,1999-2018,2021,N
ARM,2016,FALSE,CONS,.0005247,.0222206,.000968,.0792737,.0036402,.02516,.02516,ILCS,1999-2018,2021,N
ARM,2016,FALSE,CONS,.0005247,.0222206,.000968,.0792737,.0036402,.0110795,.0110795,ILCS,1999-2018,2017,N
ARM,2017,FALSE,CONS,.0006926,.017318,.0026792,.0728935,.0030484,.0078565,.0082168,ILCS,1999-2018,2017,N
ARM,2017,FALSE,CONS,.0006926,.017318,.0026792,.0728935,.0030484,.0236248,.0239851,ILCS,1999-2018,2021,N
ARM,2018,FALSE,CONS,.0001315,.0166296,.0006759,.05051,.0037203,.0289663,.0289663,ILCS,1999-2018,2021,N
ARM,2018,FALSE,CONS,.0001315,.0166296,.0006759,.05051,.0037203,.0133982,.0133982,ILCS,1999-2018,2017,N
ARM,2019,FALSE,CONS,.0003219,.020243,0,.0241159,.0105947,.0103007,.0103007,ILCS,2019-2023,2017,N
ARM,2019,FALSE,CONS,.0003219,.020243,0,.0241159,.0105947,.024278,.024278,ILCS,2019-2023,2021,N
ARM,2020,FALSE,CONS,.00057,.0193726,0,.007581,.0159233,.0035201,.0035201,ILCS,2019-2023,2017,N
ARM,2020,FALSE,CONS,.00057,.0193726,0,.007581,.0159233,.0151659,.0151659,ILCS,2019-2023,2021,N
ARM,2021,FALSE,CONS,0,.01793,0,.0039773,.0066008,.0211809,.0211809,ILCS,2019-2023,2021,N
ARM,2021,FALSE,CONS,0,.01793,0,.0039773,.0066008,.0052352,.0052352,ILCS,2019-2023,2017,N
ARM,2022,FALSE,CONS,.0000385,.020359,0,.0058174,.0165461,.0078108,.0078108,ILCS,2019-2023,2017,N
ARM,2022,FALSE,CONS,.0000385,.020359,0,.0058174,.0165461,.0189688,.0189688,ILCS,2019-2023,2021,N
ARM,2023,FALSE,CONS,.0001322,.0205172,0,.0110588,.0197761,.0192803,.0192803,ILCS,2019-2023,2021,N
ARM,2023,FALSE,CONS,.0001322,.0205172,0,.0110588,.0197761,.0058872,.0058872,ILCS,2019-2023,2017,N
AUS,2010,FALSE,INC,.0260019,,0,0,,.005312,.0300584,SIH-HES-LIS,1995-2020,2021,N
AUS,2010,FALSE,INC,.0260019,,0,0,,.0047331,.0305821,SIH-HES-LIS,1995-2020,2017,N
AUS,2014,FALSE,INC,.0209397,,0,0,,.0055385,.0253182,SIH-LIS,1995-2020,2021,N
AUS,2014,FALSE,INC,.0209397,,0,0,,.0051251,.0259507,SIH-LIS,1995-2020,2017,N
AUS,2016,FALSE,INC,.0158957,,0,0,,.0050566,.0199174,SIH-HES-LIS,1995-2020,2021,N
AUS,2016,FALSE,INC,.0158957,,0,0,,.0044882,.0203276,SIH-HES-LIS,1995-2020,2017,N
AUS,2018,FALSE,INC,.0171188,,0,0,,.0058093,.0218657,SIH-LIS,1995-2020,2021,N
AUS,2018,FALSE,INC,.0171188,,0,0,,.0051688,.0221577,SIH-LIS,1995-2020,2017,N
AUS,2020,FALSE,INC,.027629,,0,0,,.0080516,.0353369,SIH-LIS,1995-2020,2017,N
AUS,2020,FALSE,INC,.027629,,0,0,,.0093204,.0343597,SIH-LIS,1995-2020,2021,N
AUT,2008,FALSE,INC,.0001931,,0,.0134561,.0071388,.0047117,.0049048,EU-SILC,2003-2023,2017,N
AUT,2008,FALSE,INC,.0001931,,0,.0134561,.0071388,.005091,.0052841,EU-SILC,2003-2023,2021,N
AUT,2009,FALSE,INC,.0055039,,0,,0,.0065623,.0119456,EU-SILC,2003-2023,2017,N
AUT,2009,FALSE,INC,.0055039,,0,,0,.0068848,.012268,EU-SILC,2003-2023,2021,N
AUT,2010,FALSE,INC,.0029512,,0,.0119291,.0047358,.004907,.0078582,EU-SILC,2003-2023,2017,N
AUT,2010,FALSE,INC,.0029512,,0,.0119291,.0047358,.0051962,.0081474,EU-SILC,2003-2023,2021,N
AUT,2011,FALSE,INC,.0029553,,0,.0104123,.0054853,.0047682,.0077235,EU-SILC,2003-2023,2021,N
AUT,2011,FALSE,INC,.0029553,,0,.0104123,.0054853,.004154,.0071093,EU-SILC,2003-2023,2017,N
AUT,2012,FALSE,INC,.0047238,,0,.0103595,.0023155,.0061692,.0108929,EU-SILC,2003-2023,2017,N
AUT,2012,FALSE,INC,.0047238,,0,.0103595,.0023155,.0067152,.0111093,EU-SILC,2003-2023,2021,N
AUT,2013,FALSE,INC,0,,0,.0095938,.0029784,.00338,.00338,EU-SILC,2003-2023,2017,N
AUT,2013,FALSE,INC,0,,0,.0095938,.0029784,.00338,.00338,EU-SILC,2003-2023,2021,N
AUT,2014,FALSE,INC,0,,0,.0102777,.0045644,.0022426,.0022426,EU-SILC,2003-2023,2021,N
AUT,2014,FALSE,INC,0,,0,.0102777,.0045644,.0022426,.0022426,EU-SILC,2003-2023,2017,N
AUT,2015,FALSE,INC,0,,0,.0086844,.0022579,.0068461,.0068461,EU-SILC,2003-2023,2021,N
AUT,2015,FALSE,INC,0,,0,.0086844,.0022579,.0067719,.0067719,EU-SILC,2003-2023,2017,N
AUT,2016,FALSE,INC,.0000611,,0,.0061444,.0029482,.0066406,.0067018,EU-SILC,2003-2023,2017,N
AUT,2016,FALSE,INC,.0000611,,0,.0061444,.0029482,.0066406,.0067018,EU-SILC,2003-2023,2021,N
AUT,2017,FALSE,INC,0,,0,.0066375,.005,.0031809,.0031809,EU-SILC,2003-2023,2017,N
AUT,2017,FALSE,INC,0,,0,.0066375,.005,.0034973,.0034973,EU-SILC,2003-2023,2021,N
AUT,2018,FALSE,INC,0,,0,.004667,.002412,.0056836,.0056836,EU-SILC,2003-2023,2017,N
AUT,2018,FALSE,INC,0,,0,.004667,.002412,.0056836,.0056836,EU-SILC,2003-2023,2021,N
AUT,2019,FALSE,INC,0,,0,.0083369,.0065163,.0064064,.0064064,EU-SILC,2003-2023,2017,N
AUT,2019,FALSE,INC,0,,0,.0083369,.0065163,.0064664,.0064664,EU-SILC,2003-2023,2021,N
AUT,2020,FALSE,INC,0,,0,,0,.0068358,.0068358,EU-SILC,2003-2023,2017,N
AUT,2020,FALSE,INC,0,,0,,0,.0073861,.0073861,EU-SILC,2003-2023,2021,N
AUT,2021,FALSE,INC,0,,0,,0,.0048582,.0048582,EU-SILC,2003-2023,2017,N
AUT,2021,FALSE,INC,0,,0,,0,.0048582,.0048582,EU-SILC,2003-2023,2021,N
AUT,2022,FALSE,INC,0,,0,.0044026,.0045509,.0064397,.0064397,EU-SILC,2003-2023,2021,N
AUT,2022,FALSE,INC,0,,0,.0044026,.0045509,.0061829,.0061829,EU-SILC,2003-2023,2017,N
AUT,2023,FALSE,INC,0,,0,,0,.0052822,.0052822,EU-SILC,2003-2023,2021,N
AUT,2023,FALSE,INC,0,,0,,0,.0051931,.0051931,EU-SILC,2003-2023,2017,N
BDI,2013,FALSE,CONS,.6633524,.1889276,.9182661,.9430842,.2058417,.6513289,.8520085,ECVMB,1998-2013,2017,N
BDI,2013,FALSE,CONS,.6633524,.1889276,.9182661,.9430842,.2058417,.7582436,.8833047,ECVMB,1998-2013,2021,N
BDI,2020,FALSE,CONS,.4414989,.3421162,.9056854,.9100749,.1202142,.6206576,.7872198,EICVMB,2020,2017,N
BDI,2020,FALSE,CONS,.4414989,.3421162,.9056854,.9100749,.1202142,.7419918,.8421062,EICVMB,2020,2021,N
