xyzdmxyzcountry,xyzdmxyzyearrange,xyzdmxyzinterpolation,xyzdcxyzwelfaretype,xyzdcxyzdistribution,xyzdpxyzsi_spr_pcap_zg,xyzdcxyzpppyear,xyzdmxyzcoverage,survey_coverage
ARG,2014-2019,FALSE,INC,tot,-.9484455,2021,U,U
ARG,2016-2021,FALSE,INC,tot,-2.725532,2017,U,U
ARG,2016-2021,FALSE,INC,b40,-2.441344,2021,U,U
ARG,2016-2020,FALSE,INC,premium,-.6566601,2017,U,U
ARG,2016-2020,FALSE,INC,m50,-5.550451,2017,U,U
ARG,2016-2021,FALSE,INC,m50,-3.037913,2021,U,U
ARG,2016-2020,FALSE,INC,tot,-5.378757,2021,U,U
ARG,2016-2021,FALSE,INC,tot,-2.725528,2021,U,U
ARG,2016-2020,FALSE,INC,m50,-5.550457,2021,U,U
ARG,2016-2021,FALSE,INC,premium,.2841923,2017,U,U
ARG,2016-2020,FALSE,INC,b40,-6.035424,2017,U,U
ARG,2016-2021,FALSE,INC,premium,.284184,2021,U,U
ARG,2016-2021,FALSE,INC,b40,-2.441339,2017,U,U
ARG,2016-2020,FALSE,INC,b40,-6.035379,2021,U,U
ARG,2016-2020,FALSE,INC,premium,-.6566215,2021,U,U
ARG,2016-2020,FALSE,INC,tot,-5.378764,2017,U,U
ARG,2016-2021,FALSE,INC,m50,-3.037911,2017,U,U
ARG,2017-2022,FALSE,INC,premium,.7285304,2017,U,U
ARG,2017-2022,FALSE,INC,b40,-3.980842,2017,U,U
ARG,2017-2022,FALSE,INC,tot,-4.709372,2017,U,U
ARG,2017-2022,FALSE,INC,m50,-4.700187,2017,U,U
ARG,2017-2022,FALSE,INC,m50,-4.700186,2021,U,U
ARG,2017-2022,FALSE,INC,tot,-4.709376,2021,U,U
ARG,2017-2022,FALSE,INC,premium,.7285211,2021,U,U
ARG,2017-2022,FALSE,INC,b40,-3.980855,2021,U,U
ARG,2018-2023,FALSE,INC,premium,-.2158206,2017,U,U
ARG,2018-2023,FALSE,INC,tot,-2.686883,2017,U,U
ARG,2018-2023,FALSE,INC,b40,-2.902682,2021,U,U
ARG,2018-2023,FALSE,INC,m50,-3.175542,2017,U,U
ARG,2018-2023,FALSE,INC,premium,-.2158034,2021,U,U
ARG,2018-2023,FALSE,INC,b40,-2.902704,2017,U,U
ARG,2018-2023,FALSE,INC,tot,-2.686878,2021,U,U
ARG,2018-2023,FALSE,INC,m50,-3.175543,2021,U,U
ARG,2019-2024,FALSE,INC,b40,-.4564306,2017,U,U
ARG,2019-2024,FALSE,INC,premium,.9870452,2017,U,U
ARG,2019-2024,FALSE,INC,b40,-.4564293,2021,U,U
ARG,2019-2024,FALSE,INC,premium,.9870406,2021,U,U
ARG,2019-2024,FALSE,INC,m50,-1.533732,2017,U,U
ARG,2019-2024,FALSE,INC,tot,-1.44347,2021,U,U
ARG,2019-2024,FALSE,INC,m50,-1.533726,2021,U,U
ARG,2019-2024,FALSE,INC,tot,-1.443476,2017,U,U
ARM,2006-2011,FALSE,CONS,premium,.1526242,2021,N,N
ARM,2006-2011,FALSE,CONS,b40,1.222107,2017,N,N
ARM,2006-2011,FALSE,CONS,b40,1.222109,2021,N,N
ARM,2006-2011,FALSE,CONS,m50,1.151834,2021,N,N
ARM,2006-2011,FALSE,CONS,tot,1.069485,2021,N,N
ARM,2006-2011,FALSE,CONS,premium,.1526237,2017,N,N
ARM,2006-2011,FALSE,CONS,tot,1.069484,2017,N,N
ARM,2006-2011,FALSE,CONS,m50,1.151832,2017,N,N
ARM,2008-2013,FALSE,CONS,tot,-.0864435,2017,N,N
ARM,2008-2013,FALSE,CONS,m50,-.1866181,2017,N,N
ARM,2008-2013,FALSE,CONS,b40,-.7092541,2017,N,N
ARM,2008-2013,FALSE,CONS,premium,-.6228106,2017,N,N
ARM,2008-2013,FALSE,CONS,tot,-.086444,2021,N,N
ARM,2008-2013,FALSE,CONS,b40,-.7092556,2021,N,N
ARM,2008-2013,FALSE,CONS,premium,-.6228116,2021,N,N
ARM,2008-2013,FALSE,CONS,m50,-.1866172,2021,N,N
ARM,2009-2014,FALSE,CONS,tot,2.816771,2017,N,N
ARM,2009-2014,FALSE,CONS,tot,2.816773,2021,N,N
ARM,2009-2014,FALSE,CONS,b40,1.179435,2021,N,N
ARM,2009-2014,FALSE,CONS,premium,-1.637334,2017,N,N
ARM,2009-2014,FALSE,CONS,m50,2.479818,2021,N,N
ARM,2009-2014,FALSE,CONS,premium,-1.637337,2021,N,N
ARM,2009-2014,FALSE,CONS,m50,2.479814,2017,N,N
ARM,2009-2014,FALSE,CONS,b40,1.179437,2017,N,N
ARM,2010-2015,FALSE,CONS,tot,3.825469,2017,N,N
ARM,2010-2015,FALSE,CONS,tot,3.825467,2021,N,N
ARM,2010-2015,FALSE,CONS,m50,3.719655,2017,N,N
ARM,2010-2015,FALSE,CONS,premium,-1.313641,2017,N,N
ARM,2010-2015,FALSE,CONS,m50,3.719653,2021,N,N
ARM,2010-2015,FALSE,CONS,b40,2.511826,2021,N,N
ARM,2010-2015,FALSE,CONS,b40,2.511827,2017,N,N
ARM,2010-2015,FALSE,CONS,premium,-1.313642,2021,N,N
ARM,2011-2016,FALSE,CONS,tot,4.466609,2017,N,N
ARM,2011-2016,FALSE,CONS,b40,2.238401,2017,N,N
ARM,2011-2016,FALSE,CONS,m50,4.52126,2017,N,N
